,Time,Units
0,2023-05-15 12:13:42,1.0,impacts
1,2023-05-15 12:13:43,0.0,impacts
2,2023-05-15 12:13:44,1.0,impacts
3,2023-05-15 12:13:50,2.0,impacts
4,2023-05-15 12:13:50,1.0,impacts
5,2023-05-15 12:13:54,3.0,impacts
6,2023-05-15 12:13:54,1.0,impacts
7,2023-05-15 12:13:54,3.0,impacts
8,2023-05-15 12:13:54,1.0,impacts
9,2023-05-15 12:13:55,3.0,impacts
10,2023-05-15 12:13:55,1.0,impacts
11,2023-05-15 12:13:55,2.0,impacts
12,2023-05-15 12:13:55,1.0,impacts
13,2023-05-15 12:13:59,2.0,impacts
14,2023-05-15 12:13:59,1.0,impacts
15,2023-05-15 12:14:01,2.0,impacts
16,2023-05-15 12:14:02,4.0,impacts
17,2023-05-15 12:14:02,2.0,impacts
18,2023-05-15 12:14:03,1.0,impacts
19,2023-05-15 12:14:24,2.0,impacts
20,2023-05-15 12:14:35,1.0,impacts
21,2023-05-15 12:14:43,2.0,impacts
22,2023-05-15 12:14:50,1.0,impacts
23,2023-05-15 12:15:07,2.0,impacts
24,2023-05-15 12:15:08,1.0,impacts
25,2023-05-15 12:16:04,2.0,impacts
26,2023-05-15 12:16:06,5.0,impacts
27,2023-05-15 12:16:06,2.0,impacts
28,2023-05-15 12:16:11,1.0,impacts
29,2023-05-15 12:16:17,2.0,impacts
30,2023-05-15 12:16:27,3.0,impacts
31,2023-05-15 12:16:28,2.0,impacts
32,2023-05-15 12:16:28,1.0,impacts
33,2023-05-15 12:16:39,2.0,impacts
34,2023-05-15 12:16:39,1.0,impacts
35,2023-05-15 12:16:47,2.0,impacts
36,2023-05-15 12:16:55,1.0,impacts
37,2023-05-15 12:17:20,2.0,impacts
38,2023-05-15 12:17:20,2.0,impacts
39,2023-05-15 12:17:20,3.0,impacts
40,2023-05-15 12:17:20,2.0,impacts
41,2023-05-15 12:17:20,1.0,impacts
42,2023-05-15 12:17:23,2.0,impacts
43,2023-05-15 12:17:25,4.0,impacts
44,2023-05-15 12:17:26,2.0,impacts
45,2023-05-15 12:17:26,1.0,impacts
46,2023-05-15 12:17:26,3.0,impacts
