,Time,Units
0,2023-05-15 12:13:42,0.0,seconds
1,2023-05-15 12:13:43,0.908,seconds
2,2023-05-15 12:13:43,0.0,seconds
3,2023-05-15 12:13:50,0.504,seconds
4,2023-05-15 12:13:50,0.0,seconds
5,2023-05-15 12:13:54,0.084,seconds
6,2023-05-15 12:13:54,0.0,seconds
7,2023-05-15 12:13:54,0.08,seconds
8,2023-05-15 12:13:54,0.0,seconds
9,2023-05-15 12:13:55,0.09,seconds
10,2023-05-15 12:13:55,0.0,seconds
11,2023-05-15 12:13:55,0.041,seconds
12,2023-05-15 12:13:55,0.0,seconds
13,2023-05-15 12:13:59,0.529,seconds
14,2023-05-15 12:13:59,0.0,seconds
15,2023-05-15 12:14:02,0.058,seconds
16,2023-05-15 12:14:02,0.0,seconds
17,2023-05-15 12:14:02,1.42,seconds
18,2023-05-15 12:14:02,0.0,seconds
19,2023-05-15 12:14:30,10.744,seconds
20,2023-05-15 12:14:30,0.0,seconds
21,2023-05-15 12:14:47,7.202,seconds
22,2023-05-15 12:14:47,0.0,seconds
23,2023-05-15 12:15:07,0.124,seconds
24,2023-05-15 12:15:07,0.0,seconds
25,2023-05-15 12:16:06,0.621,seconds
26,2023-05-15 12:16:06,0.0,seconds
27,2023-05-15 12:16:08,6.977,seconds
28,2023-05-15 12:16:08,0.0,seconds
29,2023-05-15 12:16:23,10.227,seconds
30,2023-05-15 12:16:23,0.0,seconds
31,2023-05-15 12:16:28,0.252,seconds
32,2023-05-15 12:16:28,0.0,seconds
33,2023-05-15 12:16:39,0.5,seconds
34,2023-05-15 12:16:39,0.0,seconds
35,2023-05-15 12:16:51,8.477,seconds
36,2023-05-15 12:16:51,0.0,seconds
37,2023-05-15 12:17:20,0.069,seconds
38,2023-05-15 12:17:20,0.0,seconds
39,2023-05-15 12:17:20,0.065,seconds
40,2023-05-15 12:17:20,0.0,seconds
41,2023-05-15 12:17:20,0.059,seconds
42,2023-05-15 12:17:20,0.0,seconds
43,2023-05-15 12:17:24,2.865,seconds
44,2023-05-15 12:17:24,0.0,seconds
45,2023-05-15 12:17:26,0.132,seconds
46,2023-05-15 12:17:26,0.0,seconds
47,2023-05-15 12:17:26,0.09,seconds
48,2023-05-15 12:17:26,0.0,seconds
49,2023-05-15 12:17:36,19.327,seconds
50,2023-05-15 12:17:36,0.0,seconds
51,2023-05-15 12:17:41,0.932,seconds
52,2023-05-15 12:17:41,0.0,seconds
53,2023-05-15 12:18:35,0.094,seconds
54,2023-05-15 12:18:35,0.0,seconds
55,2023-05-15 12:19:06,2.162,seconds
56,2023-05-15 12:19:06,0.0,seconds
57,2023-05-15 12:19:07,0.136,seconds
58,2023-05-15 12:19:07,0.0,seconds
59,2023-05-15 12:19:07,0.041,seconds
60,2023-05-15 12:19:07,0.0,seconds
61,2023-05-15 12:19:07,0.084,seconds
62,2023-05-15 12:19:07,0.0,seconds
63,2023-05-15 12:19:07,0.078,seconds
64,2023-05-15 12:19:07,0.0,seconds
65,2023-05-15 12:19:34,7.781,seconds
66,2023-05-15 12:19:34,0.0,seconds
67,2023-05-15 12:20:13,19.071,seconds
68,2023-05-15 12:20:13,0.0,seconds
69,2023-05-15 12:20:35,0.049,seconds
70,2023-05-15 12:20:35,0.0,seconds
71,2023-05-15 12:20:35,0.048,seconds
72,2023-05-15 12:20:35,0.0,seconds
73,2023-05-15 12:20:35,0.044,seconds
74,2023-05-15 12:20:35,0.0,seconds
75,2023-05-15 12:21:05,0.064,seconds
76,2023-05-15 12:21:05,0.0,seconds
77,2023-05-15 12:21:06,0.101,seconds
78,2023-05-15 12:21:06,0.0,seconds
79,2023-05-15 12:21:14,2.074,seconds
80,2023-05-15 12:21:14,0.0,seconds
81,2023-05-15 12:21:14,0.004,seconds
82,2023-05-15 12:21:14,0.0,seconds
83,2023-05-15 12:21:24,15.096,seconds
84,2023-05-15 12:21:24,0.0,seconds
85,2023-05-15 12:21:24,0.034,seconds
86,2023-05-15 12:21:24,0.0,seconds
87,2023-05-15 12:21:24,0.001,seconds
88,2023-05-15 12:21:24,0.0,seconds
89,2023-05-15 12:21:25,0.116,seconds
90,2023-05-15 12:21:25,0.0,seconds
91,2023-05-15 12:21:25,0.004,seconds
92,2023-05-15 12:21:25,0.0,seconds
93,2023-05-15 12:21:27,36.768,seconds
94,2023-05-15 12:21:27,0.0,seconds
95,2023-05-15 12:21:28,927.929,seconds
96,2023-05-15 12:21:28,0.0,seconds
97,2023-05-15 12:21:32,5.057,seconds
98,2023-05-15 12:21:32,0.0,seconds
99,2023-05-15 12:21:35,0.056,seconds
100,2023-05-15 12:21:35,0.0,seconds
101,2023-05-15 12:21:36,0.028,seconds
102,2023-05-15 12:21:36,0.0,seconds
103,2023-05-15 12:21:38,0.094,seconds
104,2023-05-15 12:21:38,0.0,seconds
105,2023-05-15 12:21:54,0.066,seconds
106,2023-05-15 12:21:54,0.0,seconds
107,2023-05-15 12:22:05,0.045,seconds
108,2023-05-15 12:22:05,0.0,seconds
109,2023-05-15 12:22:05,0.033,seconds
110,2023-05-15 12:22:05,0.0,seconds
111,2023-05-15 12:22:06,13.923,seconds
112,2023-05-15 12:22:06,0.0,seconds
113,2023-05-15 12:22:27,8.741,seconds
114,2023-05-15 12:22:27,0.0,seconds
115,2023-05-15 12:22:35,0.041,seconds
116,2023-05-15 12:22:35,0.0,seconds
117,2023-05-15 12:23:05,6.746,seconds
118,2023-05-15 12:23:05,0.0,seconds
119,2023-05-15 12:23:35,0.334,seconds
120,2023-05-15 12:23:35,0.0,seconds
121,2023-05-15 12:23:35,0.029,seconds
122,2023-05-15 12:23:35,0.0,seconds
123,2023-05-15 12:23:36,0.047,seconds
124,2023-05-15 12:23:36,0.0,seconds
125,2023-05-15 12:23:36,0.076,seconds
126,2023-05-15 12:23:36,0.0,seconds
127,2023-05-15 12:23:44,11.575,seconds
128,2023-05-15 12:23:44,0.0,seconds
129,2023-05-15 12:24:05,0.045,seconds
130,2023-05-15 12:24:05,0.0,seconds
131,2023-05-15 12:24:45,43.278,seconds
132,2023-05-15 12:24:45,0.0,seconds
133,2023-05-15 12:25:04,0.067,seconds
134,2023-05-15 12:25:04,0.0,seconds
135,2023-05-15 12:25:05,0.052,seconds
136,2023-05-15 12:25:05,0.0,seconds
137,2023-05-15 12:25:05,0.05,seconds
138,2023-05-15 12:25:05,0.0,seconds
139,2023-05-15 12:25:08,0.146,seconds
140,2023-05-15 12:25:08,0.0,seconds
141,2023-05-15 12:25:08,0.038,seconds
142,2023-05-15 12:25:08,0.0,seconds
143,2023-05-15 12:25:08,0.005,seconds
144,2023-05-15 12:25:08,0.0,seconds
145,2023-05-15 12:25:08,0.098,seconds
146,2023-05-15 12:25:08,0.0,seconds
147,2023-05-15 12:25:09,0.247,seconds
148,2023-05-15 12:25:09,0.0,seconds
149,2023-05-15 12:25:09,0.103,seconds
150,2023-05-15 12:25:09,0.0,seconds
151,2023-05-15 12:25:09,0.003,seconds
152,2023-05-15 12:25:09,0.0,seconds
153,2023-05-15 12:25:09,0.118,seconds
154,2023-05-15 12:25:09,0.0,seconds
155,2023-05-15 12:25:09,0.003,seconds
156,2023-05-15 12:25:09,0.0,seconds
157,2023-05-15 12:25:10,0.158,seconds
158,2023-05-15 12:25:10,0.0,seconds
159,2023-05-15 12:25:10,0.167,seconds
160,2023-05-15 12:25:10,0.0,seconds
161,2023-05-15 12:25:10,0.123,seconds
162,2023-05-15 12:25:10,0.0,seconds
163,2023-05-15 12:25:18,0.036,seconds
164,2023-05-15 12:25:18,0.0,seconds
165,2023-05-15 12:25:29,0.32,seconds
166,2023-05-15 12:25:29,0.0,seconds
167,2023-05-15 12:25:29,0.259,seconds
168,2023-05-15 12:25:29,0.0,seconds
169,2023-05-15 12:25:29,0.003,seconds
170,2023-05-15 12:25:29,0.0,seconds
171,2023-05-15 12:25:30,0.102,seconds
172,2023-05-15 12:25:30,0.0,seconds
173,2023-05-15 12:25:30,0.021,seconds
174,2023-05-15 12:25:30,0.0,seconds
175,2023-05-15 12:25:30,0.004,seconds
176,2023-05-15 12:25:30,0.0,seconds
177,2023-05-15 12:25:30,0.254,seconds
178,2023-05-15 12:25:30,0.0,seconds
179,2023-05-15 12:25:30,0.111,seconds
180,2023-05-15 12:25:30,0.0,seconds
181,2023-05-15 12:25:30,0.003,seconds
182,2023-05-15 12:25:30,0.0,seconds
183,2023-05-15 12:25:35,0.076,seconds
184,2023-05-15 12:25:35,0.0,seconds
185,2023-05-15 12:25:50,0.221,seconds
186,2023-05-15 12:25:50,0.0,seconds
187,2023-05-15 12:25:50,0.112,seconds
188,2023-05-15 12:25:50,0.0,seconds
189,2023-05-15 12:25:50,0.004,seconds
190,2023-05-15 12:25:50,0.0,seconds
191,2023-05-15 12:25:50,0.072,seconds
192,2023-05-15 12:25:50,0.0,seconds
193,2023-05-15 12:25:50,0.015,seconds
194,2023-05-15 12:25:50,0.0,seconds
195,2023-05-15 12:25:50,0.005,seconds
196,2023-05-15 12:25:50,0.0,seconds
197,2023-05-15 12:25:51,0.14,seconds
198,2023-05-15 12:25:51,0.0,seconds
199,2023-05-15 12:25:51,0.076,seconds
200,2023-05-15 12:25:51,0.0,seconds
201,2023-05-15 12:25:51,0.003,seconds
202,2023-05-15 12:25:51,0.0,seconds
203,2023-05-15 12:26:00,0.018,seconds
204,2023-05-15 12:26:00,0.0,seconds
205,2023-05-15 12:26:26,0.102,seconds
206,2023-05-15 12:26:26,0.0,seconds
207,2023-05-15 12:26:52,1.399,seconds
208,2023-05-15 12:26:52,0.0,seconds
209,2023-05-15 12:27:05,0.077,seconds
210,2023-05-15 12:27:05,0.0,seconds
211,2023-05-15 12:27:15,0.02,seconds
212,2023-05-15 12:27:15,0.0,seconds
213,2023-05-15 12:27:24,1.764,seconds
214,2023-05-15 12:27:24,0.0,seconds
215,2023-05-15 12:28:02,0.101,seconds
216,2023-05-15 12:28:02,0.0,seconds
217,2023-05-15 12:28:02,0.049,seconds
218,2023-05-15 12:28:02,0.0,seconds
219,2023-05-15 12:28:09,18.638,seconds
220,2023-05-15 12:28:09,0.0,seconds
221,2023-05-15 12:28:10,0.068,seconds
222,2023-05-15 12:28:10,0.0,seconds
223,2023-05-15 12:28:32,12.871,seconds
224,2023-05-15 12:28:32,0.0,seconds
225,2023-05-15 12:28:35,0.059,seconds
226,2023-05-15 12:28:35,0.0,seconds
227,2023-05-15 12:28:36,0.057,seconds
228,2023-05-15 12:28:36,0.0,seconds
229,2023-05-15 12:28:36,0.069,seconds
230,2023-05-15 12:28:36,0.0,seconds
231,2023-05-15 12:28:36,0.068,seconds
232,2023-05-15 12:28:36,0.0,seconds
233,2023-05-15 12:28:36,0.062,seconds
234,2023-05-15 12:28:36,0.0,seconds
