,Time,Units
0,2023-05-15 12:13:43,7.62939e-05,MiB
1,2023-05-15 12:13:45,0.00119686,MiB
2,2023-05-15 12:13:48,0.042923,MiB
3,2023-05-15 12:13:50,0.0442514,MiB
4,2023-05-15 12:13:53,0.0484533,MiB
5,2023-05-15 12:13:55,0.19387,MiB
6,2023-05-15 12:13:58,1.0289,MiB
7,2023-05-15 12:14:00,1.20275,MiB
8,2023-05-15 12:14:03,1.43873,MiB
9,2023-05-15 12:14:05,2.0471,MiB
10,2023-05-15 12:14:08,2.68195,MiB
11,2023-05-15 12:14:10,2.68574,MiB
12,2023-05-15 12:14:13,2.68636,MiB
13,2023-05-15 12:14:15,2.68709,MiB
14,2023-05-15 12:14:18,2.69142,MiB
15,2023-05-15 12:14:20,2.73346,MiB
16,2023-05-15 12:14:23,3.57802,MiB
17,2023-05-15 12:14:25,4.17348,MiB
18,2023-05-15 12:14:28,4.72911,MiB
19,2023-05-15 12:14:30,5.3632,MiB
20,2023-05-15 12:14:33,5.9589,MiB
21,2023-05-15 12:14:35,6.54242,MiB
22,2023-05-15 12:14:38,7.12112,MiB
23,2023-05-15 12:14:40,7.73639,MiB
24,2023-05-15 12:14:43,8.3032,MiB
25,2023-05-15 12:14:45,8.9163,MiB
26,2023-05-15 12:14:48,9.52038,MiB
27,2023-05-15 12:14:50,9.85968,MiB
28,2023-05-15 12:14:53,10.3594,MiB
29,2023-05-15 12:14:55,11.0352,MiB
30,2023-05-15 12:14:58,11.0352,MiB
31,2023-05-15 12:15:00,11.0352,MiB
32,2023-05-15 12:15:03,11.0352,MiB
33,2023-05-15 12:15:05,11.087,MiB
34,2023-05-15 12:15:08,11.5611,MiB
35,2023-05-15 12:15:10,11.5638,MiB
36,2023-05-15 12:15:13,12.0432,MiB
37,2023-05-15 12:15:15,12.0432,MiB
38,2023-05-15 12:15:18,12.0436,MiB
39,2023-05-15 12:15:20,12.0436,MiB
40,2023-05-15 12:15:23,12.2056,MiB
41,2023-05-15 12:15:25,12.2062,MiB
42,2023-05-15 12:15:28,12.2062,MiB
43,2023-05-15 12:15:30,12.2062,MiB
44,2023-05-15 12:15:33,12.2062,MiB
45,2023-05-15 12:15:35,12.2089,MiB
46,2023-05-15 12:15:38,12.2094,MiB
47,2023-05-15 12:15:40,12.2122,MiB
48,2023-05-15 12:15:43,12.2122,MiB
49,2023-05-15 12:15:45,12.2122,MiB
50,2023-05-15 12:15:48,12.2122,MiB
51,2023-05-15 12:15:50,12.2122,MiB
52,2023-05-15 12:15:53,12.215,MiB
53,2023-05-15 12:15:55,12.215,MiB
54,2023-05-15 12:15:58,12.215,MiB
55,2023-05-15 12:16:00,12.215,MiB
56,2023-05-15 12:16:03,12.215,MiB
57,2023-05-15 12:16:05,12.2163,MiB
58,2023-05-15 12:16:08,12.239,MiB
59,2023-05-15 12:16:10,12.2392,MiB
60,2023-05-15 12:16:13,12.2418,MiB
61,2023-05-15 12:16:15,12.2418,MiB
62,2023-05-15 12:16:18,12.2418,MiB
63,2023-05-15 12:16:20,12.2418,MiB
64,2023-05-15 12:16:23,12.2446,MiB
65,2023-05-15 12:16:25,12.2446,MiB
66,2023-05-15 12:16:28,12.2446,MiB
67,2023-05-15 12:16:30,12.2446,MiB
68,2023-05-15 12:16:33,12.2446,MiB
69,2023-05-15 12:16:35,12.2446,MiB
70,2023-05-15 12:16:38,12.2664,MiB
71,2023-05-15 12:16:40,12.2664,MiB
72,2023-05-15 12:16:43,12.2692,MiB
73,2023-05-15 12:16:45,12.2692,MiB
74,2023-05-15 12:16:48,12.2692,MiB
75,2023-05-15 12:16:50,12.2692,MiB
76,2023-05-15 12:16:53,12.272,MiB
77,2023-05-15 12:16:55,12.272,MiB
78,2023-05-15 12:16:58,12.272,MiB
79,2023-05-15 12:17:00,12.272,MiB
80,2023-05-15 12:17:03,12.272,MiB
81,2023-05-15 12:17:05,12.272,MiB
82,2023-05-15 12:17:08,12.2944,MiB
83,2023-05-15 12:17:10,12.2944,MiB
84,2023-05-15 12:17:13,12.2971,MiB
85,2023-05-15 12:17:15,12.2971,MiB
86,2023-05-15 12:17:18,12.2971,MiB
87,2023-05-15 12:17:20,12.2978,MiB
88,2023-05-15 12:17:23,12.3309,MiB
89,2023-05-15 12:17:25,12.3309,MiB
90,2023-05-15 12:17:28,13.1381,MiB
91,2023-05-15 12:17:30,13.6809,MiB
92,2023-05-15 12:17:33,14.3303,MiB
93,2023-05-15 12:17:35,14.9,MiB
94,2023-05-15 12:17:38,15.5284,MiB
95,2023-05-15 12:17:40,16.1152,MiB
96,2023-05-15 12:17:43,16.7097,MiB
97,2023-05-15 12:17:45,17.3105,MiB
98,2023-05-15 12:17:48,17.33,MiB
99,2023-05-15 12:17:50,17.33,MiB
100,2023-05-15 12:17:53,17.33,MiB
101,2023-05-15 12:17:55,17.33,MiB
102,2023-05-15 12:17:58,17.7104,MiB
103,2023-05-15 12:18:00,17.8839,MiB
104,2023-05-15 12:18:03,17.8839,MiB
105,2023-05-15 12:18:05,18.0745,MiB
106,2023-05-15 12:18:08,18.0782,MiB
107,2023-05-15 12:18:10,18.0782,MiB
108,2023-05-15 12:18:13,18.2683,MiB
109,2023-05-15 12:18:15,18.2683,MiB
110,2023-05-15 12:18:18,18.2683,MiB
111,2023-05-15 12:18:20,18.2683,MiB
112,2023-05-15 12:18:23,18.5434,MiB
113,2023-05-15 12:18:25,18.5434,MiB
114,2023-05-15 12:18:28,18.5434,MiB
115,2023-05-15 12:18:30,18.5434,MiB
116,2023-05-15 12:18:33,18.5437,MiB
117,2023-05-15 12:18:35,18.865,MiB
118,2023-05-15 12:18:38,19.1941,MiB
119,2023-05-15 12:18:40,19.1941,MiB
120,2023-05-15 12:18:43,19.3622,MiB
121,2023-05-15 12:18:45,19.3622,MiB
122,2023-05-15 12:18:48,19.3622,MiB
123,2023-05-15 12:18:50,19.3622,MiB
124,2023-05-15 12:18:53,19.3622,MiB
125,2023-05-15 12:18:55,19.3622,MiB
126,2023-05-15 12:18:58,19.3622,MiB
127,2023-05-15 12:19:00,19.3622,MiB
128,2023-05-15 12:19:03,19.3622,MiB
129,2023-05-15 12:19:05,19.6156,MiB
130,2023-05-15 12:19:08,20.193,MiB
131,2023-05-15 12:19:10,20.1989,MiB
132,2023-05-15 12:19:13,20.2017,MiB
133,2023-05-15 12:19:15,20.2017,MiB
134,2023-05-15 12:19:18,20.2017,MiB
135,2023-05-15 12:19:20,20.2017,MiB
136,2023-05-15 12:19:23,20.2017,MiB
137,2023-05-15 12:19:25,20.2017,MiB
138,2023-05-15 12:19:28,20.2017,MiB
139,2023-05-15 12:19:30,20.2017,MiB
140,2023-05-15 12:19:33,20.4355,MiB
141,2023-05-15 12:19:35,21.2256,MiB
142,2023-05-15 12:19:38,21.3831,MiB
143,2023-05-15 12:19:40,21.3831,MiB
144,2023-05-15 12:19:43,21.386,MiB
145,2023-05-15 12:19:45,21.386,MiB
146,2023-05-15 12:19:48,21.386,MiB
147,2023-05-15 12:19:50,21.386,MiB
148,2023-05-15 12:19:53,21.386,MiB
149,2023-05-15 12:19:55,21.386,MiB
150,2023-05-15 12:19:58,21.386,MiB
151,2023-05-15 12:20:00,21.386,MiB
152,2023-05-15 12:20:03,21.386,MiB
153,2023-05-15 12:20:05,22.1983,MiB
154,2023-05-15 12:20:08,22.2706,MiB
155,2023-05-15 12:20:10,22.4146,MiB
156,2023-05-15 12:20:13,22.4174,MiB
157,2023-05-15 12:20:15,22.6192,MiB
158,2023-05-15 12:20:18,22.6192,MiB
159,2023-05-15 12:20:20,22.6192,MiB
160,2023-05-15 12:20:23,22.6242,MiB
161,2023-05-15 12:20:25,22.6242,MiB
162,2023-05-15 12:20:28,22.6242,MiB
163,2023-05-15 12:20:30,22.6242,MiB
164,2023-05-15 12:20:33,22.6242,MiB
165,2023-05-15 12:20:35,23.139,MiB
166,2023-05-15 12:20:38,23.3153,MiB
167,2023-05-15 12:20:40,23.4792,MiB
168,2023-05-15 12:20:43,23.4822,MiB
169,2023-05-15 12:20:45,23.6646,MiB
170,2023-05-15 12:20:48,23.6646,MiB
171,2023-05-15 12:20:50,23.6646,MiB
172,2023-05-15 12:20:53,23.6646,MiB
173,2023-05-15 12:20:55,23.6646,MiB
174,2023-05-15 12:20:58,23.6646,MiB
175,2023-05-15 12:21:00,23.6646,MiB
176,2023-05-15 12:21:03,23.6648,MiB
177,2023-05-15 12:21:05,24.1038,MiB
178,2023-05-15 12:21:08,24.2606,MiB
179,2023-05-15 12:21:10,24.2606,MiB
180,2023-05-15 12:21:13,24.4054,MiB
181,2023-05-15 12:21:15,24.4074,MiB
182,2023-05-15 12:21:18,24.4075,MiB
183,2023-05-15 12:21:20,24.4076,MiB
184,2023-05-15 12:21:23,24.4076,MiB
185,2023-05-15 12:21:25,24.41,MiB
186,2023-05-15 12:21:28,24.418,MiB
187,2023-05-15 12:21:30,24.4394,MiB
188,2023-05-15 12:21:33,24.4397,MiB
189,2023-05-15 12:21:35,24.9066,MiB
190,2023-05-15 12:21:38,25.1579,MiB
191,2023-05-15 12:21:40,25.165,MiB
192,2023-05-15 12:21:43,25.3509,MiB
193,2023-05-15 12:21:45,25.3509,MiB
194,2023-05-15 12:21:48,25.3509,MiB
195,2023-05-15 12:21:50,25.3509,MiB
196,2023-05-15 12:21:53,25.3509,MiB
197,2023-05-15 12:21:55,25.3557,MiB
198,2023-05-15 12:21:58,25.3557,MiB
199,2023-05-15 12:22:00,25.3557,MiB
200,2023-05-15 12:22:03,25.3557,MiB
201,2023-05-15 12:22:05,25.6885,MiB
202,2023-05-15 12:22:08,26.2418,MiB
