,Time,Units
0,2023-05-15 12:13:43,2.0,packets
1,2023-05-15 12:13:45,11.0,packets
2,2023-05-15 12:13:48,55.0,packets
3,2023-05-15 12:13:50,6.0,packets
4,2023-05-15 12:13:53,5.0,packets
5,2023-05-15 12:13:55,159.0,packets
6,2023-05-15 12:13:58,795.0,packets
7,2023-05-15 12:14:00,175.0,packets
8,2023-05-15 12:14:03,224.0,packets
9,2023-05-15 12:14:05,630.0,packets
10,2023-05-15 12:14:08,530.0,packets
11,2023-05-15 12:14:10,18.0,packets
12,2023-05-15 12:14:13,9.0,packets
13,2023-05-15 12:14:15,14.0,packets
14,2023-05-15 12:14:18,7.0,packets
15,2023-05-15 12:14:20,90.0,packets
16,2023-05-15 12:14:23,743.0,packets
17,2023-05-15 12:14:25,514.0,packets
18,2023-05-15 12:14:28,472.0,packets
19,2023-05-15 12:14:30,536.0,packets
20,2023-05-15 12:14:33,502.0,packets
21,2023-05-15 12:14:35,496.0,packets
22,2023-05-15 12:14:38,488.0,packets
23,2023-05-15 12:14:40,523.0,packets
24,2023-05-15 12:14:43,471.0,packets
25,2023-05-15 12:14:45,517.0,packets
26,2023-05-15 12:14:48,510.0,packets
27,2023-05-15 12:14:50,288.0,packets
28,2023-05-15 12:14:53,442.0,packets
29,2023-05-15 12:14:55,559.0,packets
30,2023-05-15 12:14:58,0.0,packets
31,2023-05-15 12:15:00,0.0,packets
32,2023-05-15 12:15:03,0.0,packets
33,2023-05-15 12:15:05,55.0,packets
34,2023-05-15 12:15:08,396.0,packets
35,2023-05-15 12:15:10,7.0,packets
36,2023-05-15 12:15:13,420.0,packets
37,2023-05-15 12:15:15,0.0,packets
38,2023-05-15 12:15:18,5.0,packets
39,2023-05-15 12:15:20,0.0,packets
40,2023-05-15 12:15:23,142.0,packets
41,2023-05-15 12:15:25,7.0,packets
42,2023-05-15 12:15:28,0.0,packets
43,2023-05-15 12:15:30,0.0,packets
44,2023-05-15 12:15:33,0.0,packets
45,2023-05-15 12:15:35,7.0,packets
46,2023-05-15 12:15:38,9.0,packets
47,2023-05-15 12:15:40,6.0,packets
48,2023-05-15 12:15:43,0.0,packets
49,2023-05-15 12:15:45,0.0,packets
50,2023-05-15 12:15:48,0.0,packets
51,2023-05-15 12:15:50,0.0,packets
52,2023-05-15 12:15:53,9.0,packets
53,2023-05-15 12:15:55,0.0,packets
54,2023-05-15 12:15:58,0.0,packets
55,2023-05-15 12:16:00,0.0,packets
56,2023-05-15 12:16:03,0.0,packets
57,2023-05-15 12:16:05,4.0,packets
58,2023-05-15 12:16:08,38.0,packets
59,2023-05-15 12:16:10,2.0,packets
60,2023-05-15 12:16:13,5.0,packets
61,2023-05-15 12:16:15,0.0,packets
62,2023-05-15 12:16:18,0.0,packets
63,2023-05-15 12:16:20,0.0,packets
64,2023-05-15 12:16:23,9.0,packets
65,2023-05-15 12:16:25,0.0,packets
66,2023-05-15 12:16:28,0.0,packets
67,2023-05-15 12:16:30,0.0,packets
68,2023-05-15 12:16:33,0.0,packets
69,2023-05-15 12:16:35,0.0,packets
70,2023-05-15 12:16:38,44.0,packets
71,2023-05-15 12:16:40,0.0,packets
72,2023-05-15 12:16:43,7.0,packets
73,2023-05-15 12:16:45,0.0,packets
74,2023-05-15 12:16:48,0.0,packets
75,2023-05-15 12:16:50,0.0,packets
76,2023-05-15 12:16:53,9.0,packets
77,2023-05-15 12:16:55,0.0,packets
78,2023-05-15 12:16:58,0.0,packets
79,2023-05-15 12:17:00,0.0,packets
80,2023-05-15 12:17:03,0.0,packets
81,2023-05-15 12:17:05,0.0,packets
82,2023-05-15 12:17:08,36.0,packets
83,2023-05-15 12:17:10,0.0,packets
84,2023-05-15 12:17:13,6.0,packets
85,2023-05-15 12:17:15,0.0,packets
86,2023-05-15 12:17:18,0.0,packets
87,2023-05-15 12:17:20,1.0,packets
88,2023-05-15 12:17:23,71.0,packets
89,2023-05-15 12:17:25,0.0,packets
90,2023-05-15 12:17:28,761.0,packets
91,2023-05-15 12:17:30,460.0,packets
92,2023-05-15 12:17:33,572.0,packets
93,2023-05-15 12:17:35,497.0,packets
94,2023-05-15 12:17:38,548.0,packets
95,2023-05-15 12:17:40,501.0,packets
96,2023-05-15 12:17:43,513.0,packets
97,2023-05-15 12:17:45,511.0,packets
