,Time,Units
0,2023-05-15 12:13:43,0.125,KiB
1,2023-05-15 12:13:45,1.57812,KiB
2,2023-05-15 12:13:48,14.7197,KiB
3,2023-05-15 12:13:50,3.25391,KiB
4,2023-05-15 12:13:53,0.276367,KiB
5,2023-05-15 12:13:55,25.2656,KiB
6,2023-05-15 12:13:58,91.125,KiB
7,2023-05-15 12:14:00,20.9717,KiB
8,2023-05-15 12:14:03,22.084,KiB
9,2023-05-15 12:14:05,103.849,KiB
10,2023-05-15 12:14:08,13.3955,KiB
11,2023-05-15 12:14:10,13.9902,KiB
12,2023-05-15 12:14:13,2.73633,KiB
13,2023-05-15 12:14:15,4.20215,KiB
14,2023-05-15 12:14:18,0.970703,KiB
15,2023-05-15 12:14:20,129.688,KiB
16,2023-05-15 12:14:23,39.7324,KiB
17,2023-05-15 12:14:25,84.5283,KiB
18,2023-05-15 12:14:28,32.3496,KiB
19,2023-05-15 12:14:30,29.8193,KiB
20,2023-05-15 12:14:33,33.1826,KiB
21,2023-05-15 12:14:35,30.8145,KiB
22,2023-05-15 12:14:38,24.6279,KiB
23,2023-05-15 12:14:40,26.375,KiB
24,2023-05-15 12:14:43,29.5439,KiB
25,2023-05-15 12:14:45,22.7871,KiB
26,2023-05-15 12:14:48,26.9463,KiB
27,2023-05-15 12:14:50,26.3379,KiB
28,2023-05-15 12:14:53,15.8555,KiB
29,2023-05-15 12:14:55,15.0156,KiB
30,2023-05-15 12:14:58,0.0,KiB
31,2023-05-15 12:15:00,0.0,KiB
32,2023-05-15 12:15:03,0.0,KiB
33,2023-05-15 12:15:05,11.6992,KiB
34,2023-05-15 12:15:08,8.83984,KiB
35,2023-05-15 12:15:10,4.02637,KiB
36,2023-05-15 12:15:13,17.0996,KiB
37,2023-05-15 12:15:15,5.55371,KiB
38,2023-05-15 12:15:18,0.181641,KiB
39,2023-05-15 12:15:20,0.0,KiB
40,2023-05-15 12:15:23,7.14258,KiB
41,2023-05-15 12:15:25,4.08887,KiB
42,2023-05-15 12:15:28,0.0,KiB
43,2023-05-15 12:15:30,0.0,KiB
44,2023-05-15 12:15:33,0.0,KiB
45,2023-05-15 12:15:35,4.06836,KiB
46,2023-05-15 12:15:38,0.856445,KiB
47,2023-05-15 12:15:40,3.97168,KiB
48,2023-05-15 12:15:43,0.0,KiB
49,2023-05-15 12:15:45,0.0,KiB
50,2023-05-15 12:15:48,0.0,KiB
51,2023-05-15 12:15:50,0.0,KiB
52,2023-05-15 12:15:53,4.0957,KiB
53,2023-05-15 12:15:55,0.046875,KiB
54,2023-05-15 12:15:58,0.0,KiB
55,2023-05-15 12:16:00,0.0,KiB
56,2023-05-15 12:16:03,0.0,KiB
57,2023-05-15 12:16:05,3.88672,KiB
58,2023-05-15 12:16:08,10.7725,KiB
59,2023-05-15 12:16:10,3.84961,KiB
60,2023-05-15 12:16:13,0.12207,KiB
61,2023-05-15 12:16:15,0.0,KiB
62,2023-05-15 12:16:18,0.0,KiB
63,2023-05-15 12:16:20,0.0,KiB
64,2023-05-15 12:16:23,4.07617,KiB
65,2023-05-15 12:16:25,0.0,KiB
66,2023-05-15 12:16:28,0.0,KiB
67,2023-05-15 12:16:30,0.0,KiB
68,2023-05-15 12:16:33,0.0,KiB
69,2023-05-15 12:16:35,0.0,KiB
70,2023-05-15 12:16:38,12.6855,KiB
71,2023-05-15 12:16:40,0.0,KiB
72,2023-05-15 12:16:43,3.97168,KiB
73,2023-05-15 12:16:45,0.0,KiB
74,2023-05-15 12:16:48,0.0,KiB
75,2023-05-15 12:16:50,0.0,KiB
76,2023-05-15 12:16:53,4.16699,KiB
77,2023-05-15 12:16:55,0.0,KiB
78,2023-05-15 12:16:58,0.0,KiB
79,2023-05-15 12:17:00,0.0,KiB
80,2023-05-15 12:17:03,0.0,KiB
81,2023-05-15 12:17:05,0.0,KiB
82,2023-05-15 12:17:08,14.2021,KiB
83,2023-05-15 12:17:10,0.0,KiB
84,2023-05-15 12:17:13,3.97168,KiB
85,2023-05-15 12:17:15,0.0,KiB
86,2023-05-15 12:17:18,0.0,KiB
87,2023-05-15 12:17:20,22.418,KiB
88,2023-05-15 12:17:23,5.39258,KiB
89,2023-05-15 12:17:25,0.0,KiB
90,2023-05-15 12:17:28,82.6709,KiB
91,2023-05-15 12:17:30,25.3418,KiB
92,2023-05-15 12:17:33,39.8457,KiB
93,2023-05-15 12:17:35,37.1299,KiB
94,2023-05-15 12:17:38,37.2734,KiB
95,2023-05-15 12:17:40,28.4072,KiB
