,Time,Units
0,2023-05-15 12:13:43,0.00012207,MiB
1,2023-05-15 12:13:45,0.00166321,MiB
2,2023-05-15 12:13:48,0.0160379,MiB
3,2023-05-15 12:13:50,0.0192156,MiB
4,2023-05-15 12:13:53,0.0194855,MiB
5,2023-05-15 12:13:55,0.0441589,MiB
6,2023-05-15 12:13:58,0.133148,MiB
7,2023-05-15 12:14:00,0.153628,MiB
8,2023-05-15 12:14:03,0.175195,MiB
9,2023-05-15 12:14:05,0.276609,MiB
10,2023-05-15 12:14:08,0.289691,MiB
11,2023-05-15 12:14:10,0.303353,MiB
12,2023-05-15 12:14:13,0.306026,MiB
13,2023-05-15 12:14:15,0.310129,MiB
14,2023-05-15 12:14:18,0.311077,MiB
15,2023-05-15 12:14:20,0.437726,MiB
16,2023-05-15 12:14:23,0.476527,MiB
17,2023-05-15 12:14:25,0.559074,MiB
18,2023-05-15 12:14:28,0.590666,MiB
19,2023-05-15 12:14:30,0.619786,MiB
20,2023-05-15 12:14:33,0.652191,MiB
21,2023-05-15 12:14:35,0.682283,MiB
22,2023-05-15 12:14:38,0.706334,MiB
23,2023-05-15 12:14:40,0.732091,MiB
24,2023-05-15 12:14:43,0.760942,MiB
25,2023-05-15 12:14:45,0.783195,MiB
26,2023-05-15 12:14:48,0.80951,MiB
27,2023-05-15 12:14:50,0.835231,MiB
28,2023-05-15 12:14:53,0.850715,MiB
29,2023-05-15 12:14:55,0.865378,MiB
30,2023-05-15 12:14:58,0.865378,MiB
31,2023-05-15 12:15:00,0.865378,MiB
32,2023-05-15 12:15:03,0.865378,MiB
33,2023-05-15 12:15:05,0.876803,MiB
34,2023-05-15 12:15:08,0.885436,MiB
35,2023-05-15 12:15:10,0.889368,MiB
36,2023-05-15 12:15:13,0.906067,MiB
37,2023-05-15 12:15:15,0.91149,MiB
38,2023-05-15 12:15:18,0.911668,MiB
39,2023-05-15 12:15:20,0.911668,MiB
40,2023-05-15 12:15:23,0.918643,MiB
41,2023-05-15 12:15:25,0.922636,MiB
42,2023-05-15 12:15:28,0.922636,MiB
43,2023-05-15 12:15:30,0.922636,MiB
44,2023-05-15 12:15:33,0.922636,MiB
45,2023-05-15 12:15:35,0.926609,MiB
46,2023-05-15 12:15:38,0.927445,MiB
47,2023-05-15 12:15:40,0.931324,MiB
48,2023-05-15 12:15:43,0.931324,MiB
49,2023-05-15 12:15:45,0.931324,MiB
50,2023-05-15 12:15:48,0.931324,MiB
51,2023-05-15 12:15:50,0.931324,MiB
52,2023-05-15 12:15:53,0.935324,MiB
53,2023-05-15 12:15:55,0.935369,MiB
54,2023-05-15 12:15:58,0.935369,MiB
55,2023-05-15 12:16:00,0.935369,MiB
56,2023-05-15 12:16:03,0.935369,MiB
57,2023-05-15 12:16:05,0.939165,MiB
58,2023-05-15 12:16:08,0.949685,MiB
59,2023-05-15 12:16:10,0.953444,MiB
60,2023-05-15 12:16:13,0.953564,MiB
61,2023-05-15 12:16:15,0.953564,MiB
62,2023-05-15 12:16:18,0.953564,MiB
63,2023-05-15 12:16:20,0.953564,MiB
64,2023-05-15 12:16:23,0.957544,MiB
65,2023-05-15 12:16:25,0.957544,MiB
66,2023-05-15 12:16:28,0.957544,MiB
67,2023-05-15 12:16:30,0.957544,MiB
68,2023-05-15 12:16:33,0.957544,MiB
69,2023-05-15 12:16:35,0.957544,MiB
70,2023-05-15 12:16:38,0.969933,MiB
71,2023-05-15 12:16:40,0.969933,MiB
72,2023-05-15 12:16:43,0.973811,MiB
73,2023-05-15 12:16:45,0.973811,MiB
74,2023-05-15 12:16:48,0.973811,MiB
75,2023-05-15 12:16:50,0.973811,MiB
76,2023-05-15 12:16:53,0.97788,MiB
77,2023-05-15 12:16:55,0.97788,MiB
78,2023-05-15 12:16:58,0.97788,MiB
79,2023-05-15 12:17:00,0.97788,MiB
80,2023-05-15 12:17:03,0.97788,MiB
81,2023-05-15 12:17:05,0.97788,MiB
82,2023-05-15 12:17:08,0.99175,MiB
83,2023-05-15 12:17:10,0.99175,MiB
84,2023-05-15 12:17:13,0.995628,MiB
85,2023-05-15 12:17:15,0.995628,MiB
86,2023-05-15 12:17:18,0.995628,MiB
87,2023-05-15 12:17:20,1.01752,MiB
88,2023-05-15 12:17:23,1.02279,MiB
