,Time,Units
0,2023-05-15 12:13:42,0.7151,entropy
1,2023-05-15 12:13:42,0.7149,entropy
2,2023-05-15 12:13:42,0.7148,entropy
3,2023-05-15 12:13:42,0.7144,entropy
4,2023-05-15 12:13:42,0.7137,entropy
5,2023-05-15 12:13:43,0.7126,entropy
6,2023-05-15 12:13:43,0.7112,entropy
7,2023-05-15 12:13:43,0.7107,entropy
8,2023-05-15 12:13:43,0.7084,entropy
9,2023-05-15 12:13:43,0.708,entropy
10,2023-05-15 12:13:43,0.7045,entropy
11,2023-05-15 12:13:43,0.7037,entropy
12,2023-05-15 12:13:43,0.7034,entropy
13,2023-05-15 12:13:43,0.7032,entropy
14,2023-05-15 12:13:43,0.6999,entropy
15,2023-05-15 12:13:43,0.6973,entropy
16,2023-05-15 12:13:44,0.6977,entropy
17,2023-05-15 12:13:44,0.6975,entropy
18,2023-05-15 12:13:44,0.6974,entropy
19,2023-05-15 12:13:44,0.695,entropy
20,2023-05-15 12:13:44,0.6933,entropy
21,2023-05-15 12:13:44,0.6933,entropy
22,2023-05-15 12:13:44,0.6931,entropy
23,2023-05-15 12:13:44,0.6919,entropy
24,2023-05-15 12:13:44,0.6919,entropy
25,2023-05-15 12:13:44,0.6919,entropy
26,2023-05-15 12:13:44,0.6931,entropy
27,2023-05-15 12:13:45,0.6931,entropy
28,2023-05-15 12:13:45,0.6931,entropy
29,2023-05-15 12:13:45,0.6918,entropy
30,2023-05-15 12:13:45,0.6917,entropy
31,2023-05-15 12:13:45,0.6916,entropy
32,2023-05-15 12:13:45,0.6898,entropy
33,2023-05-15 12:13:45,0.6896,entropy
34,2023-05-15 12:13:45,0.6896,entropy
35,2023-05-15 12:13:45,0.6888,entropy
36,2023-05-15 12:13:45,0.6889,entropy
37,2023-05-15 12:13:45,0.6889,entropy
38,2023-05-15 12:13:45,0.6889,entropy
39,2023-05-15 12:13:45,0.6889,entropy
40,2023-05-15 12:13:46,0.6889,entropy
41,2023-05-15 12:13:46,0.6886,entropy
42,2023-05-15 12:13:46,0.6885,entropy
43,2023-05-15 12:13:46,0.6885,entropy
44,2023-05-15 12:13:46,0.687,entropy
45,2023-05-15 12:13:46,0.6869,entropy
46,2023-05-15 12:13:46,0.6869,entropy
47,2023-05-15 12:13:46,0.6869,entropy
