,Time,Units
0,2023-05-15 12:13:42,0.0,screen change
1,2023-05-15 12:13:42,0.0005,screen change
2,2023-05-15 12:13:42,0.0001,screen change
3,2023-05-15 12:13:42,0.0,screen change
4,2023-05-15 12:13:42,0.0003,screen change
5,2023-05-15 12:13:43,0.0013,screen change
6,2023-05-15 12:13:43,0.0051,screen change
7,2023-05-15 12:13:43,0.0064,screen change
8,2023-05-15 12:13:43,0.005,screen change
9,2023-05-15 12:13:43,0.0002,screen change
10,2023-05-15 12:13:43,0.0074,screen change
11,2023-05-15 12:13:43,0.0005,screen change
12,2023-05-15 12:13:43,0.0001,screen change
13,2023-05-15 12:13:43,0.0,screen change
14,2023-05-15 12:13:43,0.0048,screen change
15,2023-05-15 12:13:43,0.0014,screen change
16,2023-05-15 12:13:44,0.0,screen change
17,2023-05-15 12:13:44,0.0,screen change
18,2023-05-15 12:13:44,0.0,screen change
19,2023-05-15 12:13:44,0.0025,screen change
20,2023-05-15 12:13:44,0.0016,screen change
21,2023-05-15 12:13:44,0.0001,screen change
22,2023-05-15 12:13:44,0.0002,screen change
23,2023-05-15 12:13:44,0.001,screen change
24,2023-05-15 12:13:44,0.0004,screen change
25,2023-05-15 12:13:44,0.0,screen change
26,2023-05-15 12:13:44,0.0008,screen change
27,2023-05-15 12:13:45,0.0001,screen change
28,2023-05-15 12:13:45,0.0001,screen change
29,2023-05-15 12:13:45,0.0009,screen change
30,2023-05-15 12:13:45,0.0002,screen change
31,2023-05-15 12:13:45,0.0,screen change
32,2023-05-15 12:13:45,0.0005,screen change
33,2023-05-15 12:13:45,0.0001,screen change
34,2023-05-15 12:13:45,0.0001,screen change
35,2023-05-15 12:13:45,0.0004,screen change
36,2023-05-15 12:13:45,0.0,screen change
37,2023-05-15 12:13:45,0.0,screen change
38,2023-05-15 12:13:45,0.0,screen change
39,2023-05-15 12:13:45,0.0,screen change
40,2023-05-15 12:13:46,0.0,screen change
41,2023-05-15 12:13:46,0.0001,screen change
42,2023-05-15 12:13:46,0.0,screen change
43,2023-05-15 12:13:46,0.0,screen change
44,2023-05-15 12:13:46,0.0005,screen change
45,2023-05-15 12:13:46,0.0001,screen change
46,2023-05-15 12:13:46,0.0001,screen change
47,2023-05-15 12:13:46,0.0001,screen change
48,2023-05-15 12:13:46,0.0001,screen change
49,2023-05-15 12:13:46,0.0,screen change
50,2023-05-15 12:13:46,0.0,screen change
51,2023-05-15 12:13:47,0.0001,screen change
52,2023-05-15 12:13:47,0.0,screen change
53,2023-05-15 12:13:47,0.0,screen change
54,2023-05-15 12:13:47,0.0,screen change
55,2023-05-15 12:13:47,0.0004,screen change
56,2023-05-15 12:13:47,0.0,screen change
57,2023-05-15 12:13:47,0.0,screen change
58,2023-05-15 12:13:47,0.0,screen change
59,2023-05-15 12:13:47,0.0,screen change
60,2023-05-15 12:13:47,0.0012,screen change
61,2023-05-15 12:13:47,0.0007,screen change
62,2023-05-15 12:13:47,0.0001,screen change
63,2023-05-15 12:13:47,0.0,screen change
64,2023-05-15 12:13:47,0.0,screen change
65,2023-05-15 12:13:48,0.0,screen change
66,2023-05-15 12:13:48,0.0001,screen change
67,2023-05-15 12:13:48,0.0001,screen change
68,2023-05-15 12:13:48,0.0,screen change
69,2023-05-15 12:13:48,0.0,screen change
70,2023-05-15 12:13:48,0.0,screen change
71,2023-05-15 12:13:48,0.0,screen change
72,2023-05-15 12:13:48,0.0,screen change
73,2023-05-15 12:13:48,0.083,screen change
74,2023-05-15 12:13:48,0.1152,screen change
75,2023-05-15 12:13:48,0.1014,screen change
76,2023-05-15 12:13:48,0.1196,screen change
77,2023-05-15 12:13:48,0.0572,screen change
78,2023-05-15 12:13:48,0.0613,screen change
