,Time,Units
0,2023-05-15 12:13:44,0.0,degrees
1,2023-05-15 12:13:49,0.0,degrees
2,2023-05-15 12:13:55,0.0,degrees
3,2023-05-15 12:14:00,0.0,degrees
4,2023-05-15 12:14:05,0.0,degrees
5,2023-05-15 12:14:06,90.0,degrees
6,2023-05-15 12:14:11,90.0,degrees
7,2023-05-15 12:14:16,90.0,degrees
8,2023-05-15 12:14:21,90.0,degrees
9,2023-05-15 12:14:26,90.0,degrees
10,2023-05-15 12:14:32,90.0,degrees
11,2023-05-15 12:14:37,90.0,degrees
12,2023-05-15 12:14:42,90.0,degrees
13,2023-05-15 12:14:47,90.0,degrees
14,2023-05-15 12:14:52,90.0,degrees
15,2023-05-15 12:14:57,90.0,degrees
16,2023-05-15 12:15:02,90.0,degrees
17,2023-05-15 12:15:08,90.0,degrees
18,2023-05-15 12:15:13,90.0,degrees
19,2023-05-15 12:15:18,90.0,degrees
20,2023-05-15 12:15:23,90.0,degrees
21,2023-05-15 12:15:28,90.0,degrees
22,2023-05-15 12:15:33,90.0,degrees
23,2023-05-15 12:15:38,90.0,degrees
24,2023-05-15 12:15:43,90.0,degrees
25,2023-05-15 12:15:49,90.0,degrees
26,2023-05-15 12:15:54,90.0,degrees
27,2023-05-15 12:15:59,90.0,degrees
28,2023-05-15 12:16:04,90.0,degrees
29,2023-05-15 12:16:09,90.0,degrees
30,2023-05-15 12:16:14,90.0,degrees
31,2023-05-15 12:16:19,90.0,degrees
32,2023-05-15 12:16:24,90.0,degrees
33,2023-05-15 12:16:29,90.0,degrees
34,2023-05-15 12:16:35,90.0,degrees
35,2023-05-15 12:16:40,90.0,degrees
36,2023-05-15 12:16:45,90.0,degrees
37,2023-05-15 12:16:50,90.0,degrees
38,2023-05-15 12:16:56,90.0,degrees
39,2023-05-15 12:17:01,90.0,degrees
40,2023-05-15 12:17:06,90.0,degrees
41,2023-05-15 12:17:11,90.0,degrees
42,2023-05-15 12:17:16,90.0,degrees
43,2023-05-15 12:17:21,90.0,degrees
44,2023-05-15 12:17:26,90.0,degrees
45,2023-05-15 12:17:31,90.0,degrees
46,2023-05-15 12:17:37,90.0,degrees
47,2023-05-15 12:17:42,90.0,degrees
48,2023-05-15 12:17:47,90.0,degrees
49,2023-05-15 12:17:52,90.0,degrees
50,2023-05-15 12:17:57,90.0,degrees
51,2023-05-15 12:18:02,90.0,degrees
52,2023-05-15 12:18:07,90.0,degrees
53,2023-05-15 12:18:12,90.0,degrees
54,2023-05-15 12:18:17,90.0,degrees
55,2023-05-15 12:18:22,90.0,degrees
56,2023-05-15 12:18:28,90.0,degrees
57,2023-05-15 12:18:33,90.0,degrees
58,2023-05-15 12:18:38,90.0,degrees
59,2023-05-15 12:18:43,90.0,degrees
60,2023-05-15 12:18:48,90.0,degrees
61,2023-05-15 12:18:53,90.0,degrees
62,2023-05-15 12:18:58,90.0,degrees
63,2023-05-15 12:19:03,90.0,degrees
64,2023-05-15 12:19:09,90.0,degrees
65,2023-05-15 12:19:14,90.0,degrees
66,2023-05-15 12:19:19,90.0,degrees
67,2023-05-15 12:19:24,90.0,degrees
68,2023-05-15 12:19:29,90.0,degrees
69,2023-05-15 12:19:34,90.0,degrees
70,2023-05-15 12:19:39,90.0,degrees
71,2023-05-15 12:19:45,90.0,degrees
72,2023-05-15 12:19:50,90.0,degrees
73,2023-05-15 12:19:55,90.0,degrees
74,2023-05-15 12:20:00,90.0,degrees
75,2023-05-15 12:20:05,90.0,degrees
76,2023-05-15 12:20:10,90.0,degrees
77,2023-05-15 12:20:15,90.0,degrees
78,2023-05-15 12:20:21,90.0,degrees
79,2023-05-15 12:20:26,90.0,degrees
80,2023-05-15 12:20:31,90.0,degrees
81,2023-05-15 12:20:36,90.0,degrees
82,2023-05-15 12:20:41,90.0,degrees
83,2023-05-15 12:20:46,90.0,degrees
84,2023-05-15 12:20:51,90.0,degrees
85,2023-05-15 12:20:56,90.0,degrees
86,2023-05-15 12:21:02,90.0,degrees
87,2023-05-15 12:21:07,90.0,degrees
88,2023-05-15 12:21:12,90.0,degrees
89,2023-05-15 12:21:17,90.0,degrees
90,2023-05-15 12:21:22,90.0,degrees
91,2023-05-15 12:21:27,90.0,degrees
92,2023-05-15 12:21:32,90.0,degrees
93,2023-05-15 12:21:37,90.0,degrees
94,2023-05-15 12:21:43,90.0,degrees
95,2023-05-15 12:21:48,90.0,degrees
96,2023-05-15 12:21:53,90.0,degrees
97,2023-05-15 12:21:58,90.0,degrees
98,2023-05-15 12:22:03,90.0,degrees
99,2023-05-15 12:22:08,90.0,degrees
100,2023-05-15 12:22:13,90.0,degrees
101,2023-05-15 12:22:18,90.0,degrees
102,2023-05-15 12:22:23,90.0,degrees
103,2023-05-15 12:22:29,90.0,degrees
104,2023-05-15 12:22:34,90.0,degrees
105,2023-05-15 12:22:39,90.0,degrees
106,2023-05-15 12:22:44,90.0,degrees
107,2023-05-15 12:22:49,90.0,degrees
108,2023-05-15 12:22:54,90.0,degrees
109,2023-05-15 12:22:59,90.0,degrees
110,2023-05-15 12:23:04,90.0,degrees
111,2023-05-15 12:23:10,90.0,degrees
112,2023-05-15 12:23:15,90.0,degrees
113,2023-05-15 12:23:20,90.0,degrees
114,2023-05-15 12:23:25,90.0,degrees
115,2023-05-15 12:23:30,90.0,degrees
116,2023-05-15 12:23:35,90.0,degrees
117,2023-05-15 12:23:40,90.0,degrees
118,2023-05-15 12:23:46,90.0,degrees
119,2023-05-15 12:23:51,90.0,degrees
120,2023-05-15 12:23:56,90.0,degrees
121,2023-05-15 12:24:01,90.0,degrees
122,2023-05-15 12:24:06,90.0,degrees
123,2023-05-15 12:24:11,90.0,degrees
124,2023-05-15 12:24:16,90.0,degrees
125,2023-05-15 12:24:21,90.0,degrees
126,2023-05-15 12:24:27,90.0,degrees
127,2023-05-15 12:24:32,90.0,degrees
128,2023-05-15 12:24:37,90.0,degrees
129,2023-05-15 12:24:42,90.0,degrees
130,2023-05-15 12:24:47,90.0,degrees
131,2023-05-15 12:24:52,90.0,degrees
132,2023-05-15 12:24:57,90.0,degrees
133,2023-05-15 12:25:03,90.0,degrees
134,2023-05-15 12:25:08,90.0,degrees
135,2023-05-15 12:25:13,90.0,degrees
136,2023-05-15 12:25:18,90.0,degrees
137,2023-05-15 12:25:23,90.0,degrees
138,2023-05-15 12:25:28,90.0,degrees
139,2023-05-15 12:25:34,90.0,degrees
140,2023-05-15 12:25:39,90.0,degrees
141,2023-05-15 12:25:44,90.0,degrees
142,2023-05-15 12:25:49,90.0,degrees
143,2023-05-15 12:25:54,90.0,degrees
144,2023-05-15 12:25:59,90.0,degrees
145,2023-05-15 12:26:04,90.0,degrees
146,2023-05-15 12:26:09,90.0,degrees
147,2023-05-15 12:26:15,90.0,degrees
148,2023-05-15 12:26:20,90.0,degrees
149,2023-05-15 12:26:25,90.0,degrees
150,2023-05-15 12:26:30,90.0,degrees
151,2023-05-15 12:26:35,90.0,degrees
152,2023-05-15 12:26:40,90.0,degrees
153,2023-05-15 12:26:45,90.0,degrees
154,2023-05-15 12:26:50,90.0,degrees
155,2023-05-15 12:26:55,90.0,degrees
156,2023-05-15 12:27:00,90.0,degrees
157,2023-05-15 12:27:05,90.0,degrees
158,2023-05-15 12:27:11,90.0,degrees
159,2023-05-15 12:27:16,90.0,degrees
160,2023-05-15 12:27:21,90.0,degrees
161,2023-05-15 12:27:26,90.0,degrees
162,2023-05-15 12:27:31,90.0,degrees
163,2023-05-15 12:27:36,90.0,degrees
164,2023-05-15 12:27:41,90.0,degrees
165,2023-05-15 12:27:46,90.0,degrees
166,2023-05-15 12:27:52,90.0,degrees
167,2023-05-15 12:27:57,90.0,degrees
168,2023-05-15 12:28:02,90.0,degrees
169,2023-05-15 12:28:07,90.0,degrees
170,2023-05-15 12:28:12,90.0,degrees
171,2023-05-15 12:28:17,90.0,degrees
172,2023-05-15 12:28:22,90.0,degrees
173,2023-05-15 12:28:27,90.0,degrees
174,2023-05-15 12:28:33,90.0,degrees
175,2023-05-15 12:28:38,90.0,degrees
176,2023-05-15 12:28:43,90.0,degrees
177,2023-05-15 12:28:48,90.0,degrees
178,2023-05-15 12:28:53,90.0,degrees
179,2023-05-15 12:28:58,90.0,degrees
180,2023-05-15 12:29:03,90.0,degrees
181,2023-05-15 12:29:08,90.0,degrees
